Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IITRI65880,Polycentropus smithae,A Caddisfly,,SU (2016),Not Reviewed,G4? (2024),,,,,,
IITRI65890,Polycentropus variegatus,A Caddisfly,,S4S5 (2016),Not Reviewed,G5 (2004),,,,,,
IITRI05140,Polycentropus weedi,A Caddisfly,,SU (2016),Not Reviewed,G4 (2024),,,,,,
NLT0023250,Polychidium muscicola,eyed mossthorns,,S5 (2018),Yellow,G5 (2013),,,,,,
IILEY8M010,Polychrysia esmeralda,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
PDCHE0H010,Polycnemum arvense,crunch weed,,SNA (2019),Exotic,GNR (1994),,,,,,
NLHEL06020,Polydesmia pruinosa,,,SU (2021),Unknown,GNR,,,,,,
ITUNI59010,Polydesmus angustus,,,SNA (2020),Exotic,GNR,,,,,,
ITUNI58030,Polydesmus inconstans,,,SNA (2020),Exotic,G4G5 (2006),,,,,,
IICOLQDD40,Polydrusus formosus,A Broad-nosed Weevil,,SNA (2023),Exotic,GNR,,,,,,
IIHYM0K010,Polyergus breviceps,,,S5 (2016),Not Reviewed,G5 (2017),,,,,,
IILEPK5040,Polygonia faunus,Green Comma,,S5 (2020),Yellow,G5 (2016),,,,,,
IILEPK5080,Polygonia gracilis,Hoary Comma,,S5 (2020),Yellow,G5 (2023),,,,,,
IILEPK5090,Polygonia oreas,Oreas Anglewing,,S5 (2020),Yellow,G5 (2020),,,,,,
IILEPK5093,Polygonia oreas silenus,"Oreas Anglewing, silenus subspecies",,S4? (2023),Yellow,G5T4T5 (2003),,,,,,
IILEPK5094,Polygonia oreas threatfuli,"Oreas Anglewing, threatfuli subspecies",,S3S4 (2023),Blue,G5T3T4 (2015),,,,,,
IILEPK5100,Polygonia progne,Grey Comma,,S5 (2020),Yellow,G5 (2023),,,,,,
IILEPK5030,Polygonia satyrus,Satyr Anglewing,,S5 (2020),Yellow,G5 (2020),,,,,,
PDPGN0L010,Polygonum achoreum,Blake's knotweed,,S3S4 (2019),Yellow,G5 (2016),,,,,,
PDPGN0L060,Polygonum arenastrum,oval-leaved knotweed,,SNA (2001),Exotic,G5T5 (1994),,,,,,
PDPGN0L0X1,Polygonum austiniae,Austin's knotweed,MSdk,S2 (2019),Red,G5T4 (2025),,,,,Y,
PDPGN0L370,Polygonum aviculare,common knotweed,,SNA (2019),Exotic,G5 (2016),,,,,,
PDPGN0L0H0,Polygonum buxiforme,eastern knotweed,,S5 (2015),Yellow,G5T5 (2025),,,,,,
PDPGN0L0X2,Polygonum douglasii,Douglas's knotweed,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDPGN0L0X5,Polygonum engelmannii,Engelmann's knotweed,IDFxh; MSdk,S1 (2019),Red,G5T3T5 (2007),,,,,Y,
PDPGN0L100,Polygonum fowleri ssp. fowleri,Fowler's knotweed,,S4 (2019),Yellow,G5T5 (2024),,,,,,
PDPGN0L0Q2,Polygonum humifusum ssp. caurianum,Alaska knotweed,BWBSdk,S2S3 (2019),Blue,G4T4 (2016),,,,,Y,
PDPGN0L0X4,Polygonum majus,wiry knotweed,,S5 (2019),Yellow,G5T5 (2017),,,,,,
PDPGN0L1E0,Polygonum minimum,leafy dwarf knotweed,,S5 (2019),Yellow,G5 (2019),,,,,,
PDPGN0L374,Polygonum neglectum,narrow-leaved knotweed,,SNA (2018),Exotic,G5TNR,,,,,,
PDPGN0L0X7,Polygonum nuttallii,Nuttall's knotweed,,S5 (2019),Yellow,G5T5 (2019),,,,,,
PDPGN0L1Q0,Polygonum paronychia,black knotweed,CWHvh; CWHwh; CWHxm,S3 (2019),Blue,G5 (1990),,,,,Y,
CEBC003109,Polygonum paronychia - Abronia latifolia,black knotweed - yellow sand-verbena,CDFmm/; CWHxm1/,S1 (2011),Red,GNR,N/A,N/A,,,Y,
PDPGN0L1Y1,Polygonum polygaloides ssp. confertiflorum,close-flowered knotweed,ICHmk; MSdk,S3 (2021),Blue,G4G5T3T4 (2015),,,,,Y,
PDPGN0L1Y3,Polygonum polygaloides ssp. kelloggii,Kellogg's knotweed,,S3S4 (2018),Yellow,G4G5T3T5 (2001),,,,,,
PDPGN0L211,Polygonum ramosissimum ssp. prolificum,proliferous knotweed,BWBSmw,S1S2 (2017),Red,G5T4T5 (2025),,,,,Y,
PDPGN0L3C1,Polygonum ramosissimum ssp. ramosissimum,bushy knotweed,,SU (2019),Unknown,G5T5 (2025),,,,,,
PDPGN0L371,Polygonum rurivagum,narrow-leaved knotweed,,SNA (2016),Exotic,G5TNR,,,,,,
PDPGN0LZ22,Polygonum sawatchense ssp. oblivium,Sawatch knotweed,ESSFmw,S2S3 (2019),Blue,GNRTNR,,,,,Y,
PDPGN0L0X8,Polygonum spergulariiforme,spurry knotweed,,S5 (2019),Yellow,G5T5 (2015),,,,,,
IICOLHH020,Polygraphus convexifrons,A Bark Beetle,,SU (2023),Not Reviewed,GNR,,,,,,
IICOLHH010,Polygraphus rufipennis,Foureyed Spruce Bark Beetle,,S5 (2023),Not Reviewed,G5 (2017),,,,,,
IICLL2P010,Polykatianna sminthurinus,,,SU (2019),Not Reviewed,GNR,,,,,,
IZSPN88050,Polymastia pachymastia,Aggregated Nipple Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
IZSPN88060,Polymastia pacifica,Pacific Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
IZSPN88070,Polymastia piscesae,Pisces Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E030,Polymerus basivittis,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E050,Polymerus chrysopsis,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E060,Polymerus cognatus,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E130,Polymerus diffusus,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E190,Polymerus rufipes,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E220,Polymerus tumidifrons,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E090,Polymerus unifasciatus,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E100,Polymerus venaticus,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM1E230,Polymerus vulneratus,,,SNR,Not Reviewed,GNR,,,,,,
NFTHE07020,Polyozellus humicola,,,SU (2021),Unknown,GNR,,,,,,
NFTHE0F020,Polyozellus marymargaretae,,,SU (2021),Unknown,GNR,,,,,,
NFTHE07050,Polyozellus tristis,,,SU (2021),Unknown,GNR,,,,,,
NLLEC922U0,Polyozosia salina,,,SU (2020),Unknown,GNR,,,,,,
IICOL68160,Polyphylla crinita,A Scarab Beetle,,S4S5 (2023),Not Reviewed,GNR,,,,,,
IICOL68070,Polyphylla decemlineata,Ten-lined June Beetle,,S4S5 (2023),Not Reviewed,G5 (2018),,,,,,
PPPOL02010,Polypodium amorphum,irregular polypody,,S5 (2019),Yellow,G4? (2011),,,,,,
PPPOL020F0,Polypodium glycyrrhiza,licorice fern,,S5 (2019),Yellow,G5 (2016),,,,,,
PPPOL020G0,Polypodium hesperium,western polypody,,S5 (2019),Yellow,G5 (2019),,,,,,
PPPOL020V0,Polypodium scouleri,leathery polypody,,S5 (2019),Yellow,G5? (2011),,,,,,
PPPOL02170,Polypodium sibiricum,Siberian polypody,,S3S4 (2019),Yellow,G5? (2011),,,,,,
PMPOA50030,Polypogon interruptus,ditch rabbit's-foot grass,,SNA (2019),Exotic,G5? (1984),,,,,,
PMPOA50050,Polypogon monspeliensis,rabbitfoot polypogon,,SNA (2019),Exotic,GNR,,,,,,
NFPOL1W020,Polyporoletus sylvestris,,,S3 (2021),Blue,GNR,,,,,,
NFPOL3C010,Polyporus alutaceus,,,SU (2021),Unknown,GNR,,,,,,
NFPOL41040,Polyporus arcticus,,,SU (2021),Unknown,GNR,,,,,,
NFAGA6J010,Polyporus carneus,,,SU (2021),Unknown,GNR,,,,,,
NFPOL3H010,Polyporus picipes,,,S4 (2021),Yellow,GNR,,,,,,
NFFUNPORA1,Polyporus radicatus,,,SU (2021),Unknown,GNR,,,,,,
NFFUNPOTU1,Polyporus tuberaster,,,S4 (2021),Yellow,G5 (2015),,,,,,
ZMYXO1L010,Polyschismium aggregatum,,,SU (2025),Unknown,GNR,,,,,,
ZMYXO0V010,Polyschismium carestianum,a slime mold,,SU (2023),Unknown,GNR,,,,,,
ZMYXO1L020,Polyschismium chailletii,,,SU (2025),Unknown,GNR,,,,,,
ZMYXO1L030,Polyschismium fallax,,,SU (2025),Unknown,GNR,,,,,,
ZMYXO1L040,Polyschismium granuliferum,,,SU (2025),Unknown,GNR,,,,,,
ZMYXO1L050,Polyschismium peyerimhoffii,,,SU (2025),Unknown,GNR,,,,,,
ZMYXO0V040,Polyschismium trevelyanii,a slime mold,,SU (2023),Unknown,GNR,,,,,,
NLACA04020,Polysporina cyclocarpa,,,SU (2020),Unknown,GNR,,,,,,
NLT0023380,Polysporina simplex,,,S4 (2020),Yellow,G5? (2001),,,,,,
NLT0023390,Polysporina urceolata,,,SU (2020),Unknown,GNR,,,,,,
PPDRY0R030,Polystichum andersonii,Anderson's holly fern,,S5 (2019),Yellow,G4 (2011),,,,,,
PPDRY0R040,Polystichum braunii,Braun's holly fern,,S5 (2019),Yellow,G5 (2019),,,,,,
