"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"321",0.719266958439321,0.0833333333333334,0,0.528931743163228,0.420259396825358,0.350358286352248,321
"322",1,1,0,1,0.474684163769515,0.694936832753903,322
"408",1,1,0.737819025522042,1,0.497538660767013,0.847071537257811,408
"409",1,1,0.737819025522042,1,0.486734639555566,0.844910733015522,409
"476",1,1,0.368909512761021,1,0.481862508328002,0.770154404217805,476
"477",1,1,0.368909512761021,1,0.467854096404443,0.767352721833093,477
"479",1,1,0.368909512761021,1,0.442950614569879,0.76237202546618,479
"480",1,1,0.368909512761021,1,0.433329377513766,0.760447778054957,480
"515",1,1,0.368909512761021,1,0.422594403334774,0.758300783219159,515
"592",1,1,0.967517401392111,1,0.838964987813305,0.961296477841083,592
"593",1,1,0.967517401392111,1,0.777282995735674,0.948960079425557,593
"594",1,1,0.967517401392111,1,0.728053239789697,0.939114128236362,594
"595",1,1,0.967517401392111,1,0.672564469394602,0.928016374157343,595
"596",1,1,0.967517401392111,1,0.579946223256434,0.909492724929709,596
"597",1,1,0.946635730858469,1,0.457876658724961,0.880902477916686,597
"598",1,1,0.946635730858469,1,0.351382293645498,0.859603604900793,598
"599",1,1,0.851508120649652,1,0.327232669575108,0.835748158044952,599
"600",1,1,0.851508120649652,1,0.403039378208834,0.850909499771697,600
"601",1,1,0.923433874709977,1,0.522611152192287,0.889209005380453,601
"602",1,1,0.948955916473318,1,0.609704362325718,0.911732055759807,602
"603",1,1,0.948955916473318,1,0.649010305234221,0.919593244341508,603
"604",1,1,0.948955916473318,1,0.652332556966897,0.920257694688043,604
"605",1,1,0.948955916473318,1,0.638765381048889,0.917544259504441,605
"606",1,1,0.835266821345708,1,0.568923175802694,0.88083799942968,606
"607",1,1,0.728538283062645,1,0.449788888344546,0.835665434281438,607
"608",1,1,0.561484918793503,1,0.354752793406999,0.783247542440101,608
"609",1,1,0.561484918793503,1,0.377776158505386,0.787852215459778,609
"610",1,1,0.303944315545244,1,0.426358315542462,0.746060526217541,610
"611",1,1,0,1,0.46462869445397,0.692925738890794,611
"612",1,1,0,1,0.500377229547956,0.700075445909591,612
"613",1,1,0,1,0.511131941556922,0.702226388311384,613
"614",1,1,0,1,0.485394306484991,0.697078861296998,614
"615",1,1,0,1,0.422137249724404,0.684427449944881,615
"616",1,1,0.303944315545244,1,0.390267375082617,0.738842338125572,616
"769",1,1,0.368909512761021,1,0.510259161598531,0.77583373487191,769
"770",1,1,0.368909512761021,1,0.499680816650947,0.773718065882394,770
"771",1,1,0.368909512761021,1,0.478852170904847,0.769552336733174,771
"772",1,1,0.368909512761021,1,0.451303324639373,0.764042567480079,772
"807",1,1,0.368909512761021,1,0.423259051767058,0.758433712905616,807
"808",1,1,0.368909512761021,1,0.40811355690022,0.755404613932248,808
"886",1,1,0.967517401392111,1,0.68997097159468,0.931497674597358,886
"887",1,1,0.967517401392111,1,0.644461195267095,0.922395719331841,887
"888",1,1,0.967517401392111,1,0.608513159526059,0.915206112183634,888
"889",1,1,0.967517401392111,1,0.552545729067863,0.904012626091995,889
"890",1,1,0.946635730858469,1,0.451260736203372,0.879579293412368,890
"891",1,1,0.918793503480278,1,0.328643889045805,0.849487478505217,891
